Current time: | Mon Mar 19 14:52:06 EDT 2018
Time stamp: | 1521485526
Excel time format: | 19/03/18 02:52:06 PM
BPB_FAN_2A       | 7700 RPM          | ok
BPB_FAN_2B       | 6300 RPM          | ok
BPB_FAN_3A       | 7700 RPM          | ok
BPB_FAN_3B       | 6200 RPM          | ok
BPB_FAN_4A       | 7500 RPM          | ok
BPB_FAN_4B       | 6100 RPM          | ok
BPB_FAN_5A       | 7600 RPM          | ok
BPB_FAN_5B       | 6200 RPM          | ok
BPB_FAN_6A       | 7600 RPM          | ok
BPB_FAN_6B       | 6100 RPM          | ok
BPB_FAN_7A       | 7600 RPM          | ok
BPB_FAN_7B       | 6200 RPM          | ok
BPB_FAN_8A       | 6100 RPM          | ok
BPB_FAN_8B       | 7600 RPM          | ok
SEL              | 0x00              | ok
BPB_HDD_HEALTH   | 0x00              | ok
Watchdog         | 0x00              | ok
PSU1_HOTSPOT     | 54 degrees C      | ok
PSU2_HOTSPOT     | 41 degrees C      | ok
NVMeG0_TEMP      | 42 degrees C      | ok
NVMeG1_TEMP      | no reading        | ns
NVMeG2_TEMP      | no reading        | ns
NVMeG3_TEMP      | no reading        | ns
NVMeG4_TEMP      | no reading        | ns
NVMeG5_TEMP      | no reading        | ns
exit code: 0
